S.No,Question Name,Difficulty,LeetCode Link
813,Pizza Toppings Cost Analysis,Medium,https://leetcode.com/problems/pizza-toppings-cost-analysis/
814,Number of Divisible Triplet Sums,Medium,https://leetcode.com/problems/number-of-divisible-triplet-sums/
815,Symmetric Coordinates,Medium,https://leetcode.com/problems/symmetric-coordinates/
816,Count the Number of Incremovable Subarrays I,Easy,https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-i/
817,Maximum Area of Longest Diagonal Rectangle,Easy,https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle/
818,Maximum Square Area by Removing Fences From a Field,Medium,https://leetcode.com/problems/maximum-square-area-by-removing-fences-from-a-field/
819,Minimum Number of Operations to Make Array XOR Equal to K,Medium,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-xor-equal-to-k/
820,Count the Number of Incremovable Subarrays II,Hard,https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-ii/
821,Number of Same-End Substrings,Medium,https://leetcode.com/problems/number-of-same-end-substrings/
822,Check if Bitwise OR Has Trailing Zeros,Easy,https://leetcode.com/problems/check-if-bitwise-or-has-trailing-zeros/
823,Find Beautiful Indices in the Given Array I,Medium,https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-i/
824,Minimize Length of Array Using Operations,Medium,https://leetcode.com/problems/minimize-length-of-array-using-operations/
825,Count the Number of Powerful Integers,Hard,https://leetcode.com/problems/count-the-number-of-powerful-integers/
826,Count Elements With Maximum Frequency,Easy,https://leetcode.com/problems/count-elements-with-maximum-frequency/
827,Divide Array Into Arrays With Max Difference,Medium,https://leetcode.com/problems/divide-array-into-arrays-with-max-difference/
828,Maximum Number That Sum of the Prices Is Less Than or Equal to K,Medium,https://leetcode.com/problems/maximum-number-that-sum-of-the-prices-is-less-than-or-equal-to-k/
829,Minimum Number of Operations to Make X and Y Equal,Medium,https://leetcode.com/problems/minimum-number-of-operations-to-make-x-and-y-equal/
830,Minimum Cost to Convert String II,Hard,https://leetcode.com/problems/minimum-cost-to-convert-string-ii/
831,Number of Divisible Substrings,Medium,https://leetcode.com/problems/number-of-divisible-substrings/
832,Smallest Missing Integer Greater Than Sequential Prefix Sum,Easy,https://leetcode.com/problems/smallest-missing-integer-greater-than-sequential-prefix-sum/
833,Minimum Cost to Convert String I,Medium,https://leetcode.com/problems/minimum-cost-to-convert-string-i/
834,Double Modular Exponentiation,Medium,https://leetcode.com/problems/double-modular-exponentiation/
835,Maximize the Number of Partitions After Operations,Hard,https://leetcode.com/problems/maximize-the-number-of-partitions-after-operations/
836,Maximum GCD-Sum of a Subarray,Hard,https://leetcode.com/problems/maximum-gcd-sum-of-a-subarray/
837,Minimum Number of Coins to be Added,Medium,https://leetcode.com/problems/minimum-number-of-coins-to-be-added/
838,Remove Adjacent Almost-Equal Characters,Medium,https://leetcode.com/problems/remove-adjacent-almost-equal-characters/
839,Minimum Cost to Make Array Equalindromic,Medium,https://leetcode.com/problems/minimum-cost-to-make-array-equalindromic/
840,Maximum Size of a Set After Removals,Medium,https://leetcode.com/problems/maximum-size-of-a-set-after-removals/
841,Find Missing and Repeated Values,Easy,https://leetcode.com/problems/find-missing-and-repeated-values/
842,Minimum Number Game,Easy,https://leetcode.com/problems/minimum-number-game/
843,Length of Longest Subarray With at Most K Frequency,Medium,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency/
844,Count the Number of Infection Sequences,Hard,https://leetcode.com/problems/count-the-number-of-infection-sequences/
845,Count Complete Substrings,Hard,https://leetcode.com/problems/count-complete-substrings/
846,Number of Equal Numbers Blocks,Medium,https://leetcode.com/problems/number-of-equal-numbers-blocks/
847,Find the Peaks,Easy,https://leetcode.com/problems/find-the-peaks/
848,Count Tested Devices After Test Operations,Easy,https://leetcode.com/problems/count-tested-devices-after-test-operations/
849,Make Lexicographically Smallest Array by Swapping Elements,Medium,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements/
850,Find Number of Coins to Place in Tree Nodes,Hard,https://leetcode.com/problems/find-number-of-coins-to-place-in-tree-nodes/
851,Number of Possible Sets of Closing Branches,Hard,https://leetcode.com/problems/number-of-possible-sets-of-closing-branches/
852,Distribute Candies Among Children III,Hard,https://leetcode.com/problems/distribute-candies-among-children-iii/
853,Matrix Similarity After Cyclic Shifts,Easy,https://leetcode.com/problems/matrix-similarity-after-cyclic-shifts/
854,Maximize Area of Square Hole in Grid,Medium,https://leetcode.com/problems/maximize-area-of-square-hole-in-grid/
855,Count Subarrays Where Max Element Appears at Least K Times,Medium,https://leetcode.com/problems/count-subarrays-where-max-element-appears-at-least-k-times/
856,Count the Number of Good Partitions,Hard,https://leetcode.com/problems/count-the-number-of-good-partitions/
857,Find Maximum Non-decreasing Array Length,Hard,https://leetcode.com/problems/find-maximum-non-decreasing-array-length/
858,Count Beautiful Substrings I,Medium,https://leetcode.com/problems/count-beautiful-substrings-i/
859,Minimum Number of Coins for Fruits,Medium,https://leetcode.com/problems/minimum-number-of-coins-for-fruits/
860,Count Beautiful Substrings II,Hard,https://leetcode.com/problems/count-beautiful-substrings-ii/
861,Make Three Strings Equal,Easy,https://leetcode.com/problems/make-three-strings-equal/
862,Find Common Elements Between Two Arrays,Easy,https://leetcode.com/problems/find-common-elements-between-two-arrays/
863,Market Analysis III,Medium,https://leetcode.com/problems/market-analysis-iii/
864,Maximum Profitable Triplets With Increasing Prices II,Hard,https://leetcode.com/problems/maximum-profitable-triplets-with-increasing-prices-ii/
865,Palindrome Rearrangement Queries,Hard,https://leetcode.com/problems/palindrome-rearrangement-queries/
866,High-Access Employees,Medium,https://leetcode.com/problems/high-access-employees/
867,Distribute Candies Among Children II,Medium,https://leetcode.com/problems/distribute-candies-among-children-ii/
868,Number of Strings Which Can Be Rearranged to Contain Substring,Medium,https://leetcode.com/problems/number-of-strings-which-can-be-rearranged-to-contain-substring/
869,Distribute Candies Among Children I,Easy,https://leetcode.com/problems/distribute-candies-among-children-i/
870,Number of Ways to Reach Destination in the Grid,Hard,https://leetcode.com/problems/number-of-ways-to-reach-destination-in-the-grid/
871,Maximum Strong Pair XOR II,Hard,https://leetcode.com/problems/maximum-strong-pair-xor-ii/
872,Apply Operations to Maximize Frequency Score,Hard,https://leetcode.com/problems/apply-operations-to-maximize-frequency-score/
873,Separate Black and White Balls,Medium,https://leetcode.com/problems/separate-black-and-white-balls/
874,Find Words Containing Character,Easy,https://leetcode.com/problems/find-words-containing-character/
875,Maximum Strong Pair XOR I,Easy,https://leetcode.com/problems/maximum-strong-pair-xor-i/
876,Maximum Xor Product,Medium,https://leetcode.com/problems/maximum-xor-product/
877,Maximum Score After Applying Operations on a Tree,Medium,https://leetcode.com/problems/maximum-score-after-applying-operations-on-a-tree/
878,Minimum Operations to Maximize Last Elements in Arrays,Medium,https://leetcode.com/problems/minimum-operations-to-maximize-last-elements-in-arrays/
879,Find Champion II,Medium,https://leetcode.com/problems/find-champion-ii/
880,Find Champion I,Easy,https://leetcode.com/problems/find-champion-i/
881,Maximum Profitable Triplets With Increasing Prices I,Medium,https://leetcode.com/problems/maximum-profitable-triplets-with-increasing-prices-i/
882,Minimum Sum of Mountain Triplets II,Medium,https://leetcode.com/problems/minimum-sum-of-mountain-triplets-ii/
883,Maximum Balanced Subsequence Sum,Hard,https://leetcode.com/problems/maximum-balanced-subsequence-sum/
884,Find the K-or of an Array,Easy,https://leetcode.com/problems/find-the-k-or-of-an-array/
885,Maximum Linear Stock Score,Medium,https://leetcode.com/problems/maximum-linear-stock-score/
886,Find Building Where Alice and Bob Can Meet,Hard,https://leetcode.com/problems/find-building-where-alice-and-bob-can-meet/
887,Maximum Points After Collecting Coins From All Nodes,Hard,https://leetcode.com/problems/maximum-points-after-collecting-coins-from-all-nodes/
888,Minimum Increment Operations to Make Array Beautiful,Medium,https://leetcode.com/problems/minimum-increment-operations-to-make-array-beautiful/
889,Minimizing Array After Replacing Pairs With Their Product,Medium,https://leetcode.com/problems/minimizing-array-after-replacing-pairs-with-their-product/
890,Minimum Sum of Mountain Triplets I,Easy,https://leetcode.com/problems/minimum-sum-of-mountain-triplets-i/
891,Minimum Number of Changes to Make Binary String Beautiful,Medium,https://leetcode.com/problems/minimum-number-of-changes-to-make-binary-string-beautiful/
892,The Wording Game,Hard,https://leetcode.com/problems/the-wording-game/
893,Divisible and Non-divisible Sums Difference,Easy,https://leetcode.com/problems/divisible-and-non-divisible-sums-difference/
894,Minimum Equal Sum of Two Arrays After Replacing Zeros,Medium,https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros/
895,Find Indices With Index and Value Difference II,Medium,https://leetcode.com/problems/find-indices-with-index-and-value-difference-ii/
896,Minimum Number of Groups to Create a Valid Assignment,Medium,https://leetcode.com/problems/minimum-number-of-groups-to-create-a-valid-assignment/
897,Find Indices With Index and Value Difference I,Easy,https://leetcode.com/problems/find-indices-with-index-and-value-difference-i/
898,Last Visited Integers,Easy,https://leetcode.com/problems/last-visited-integers/
899,Subarrays Distinct Element Sum of Squares I,Easy,https://leetcode.com/problems/subarrays-distinct-element-sum-of-squares-i/
900,Calculate Orders Within Each Interval,Medium,https://leetcode.com/problems/calculate-orders-within-each-interval/
901,Maximum Length of Semi-Decreasing Subarrays,Medium,https://leetcode.com/problems/maximum-length-of-semi-decreasing-subarrays/
902,Rolling Average Steps,Medium,https://leetcode.com/problems/rolling-average-steps/
903,Highest Salaries Difference,Easy,https://leetcode.com/problems/highest-salaries-difference/
904,Maximum Value of an Ordered Triplet I,Easy,https://leetcode.com/problems/maximum-value-of-an-ordered-triplet-i/
905,Apply Operations on Array to Maximize Sum of Squares,Hard,https://leetcode.com/problems/apply-operations-on-array-to-maximize-sum-of-squares/
906,Maximum Value of an Ordered Triplet II,Medium,https://leetcode.com/problems/maximum-value-of-an-ordered-triplet-ii/
907,Minimum Processing Time,Medium,https://leetcode.com/problems/minimum-processing-time/
908,Shortest and Lexicographically Smallest Beautiful String,Medium,https://leetcode.com/problems/shortest-and-lexicographically-smallest-beautiful-string/
909,Sum of Remoteness of All Cells,Medium,https://leetcode.com/problems/sum-of-remoteness-of-all-cells/
910,Longest Unequal Adjacent Groups Subsequence I,Easy,https://leetcode.com/problems/longest-unequal-adjacent-groups-subsequence-i/
911,Longest Unequal Adjacent Groups Subsequence II,Medium,https://leetcode.com/problems/longest-unequal-adjacent-groups-subsequence-ii/
912,Minimum Size Subarray in Infinite Array,Medium,https://leetcode.com/problems/minimum-size-subarray-in-infinite-array/
913,Count Visited Nodes in a Directed Graph,Hard,https://leetcode.com/problems/count-visited-nodes-in-a-directed-graph/
914,Subarrays Distinct Element Sum of Squares II,Hard,https://leetcode.com/problems/subarrays-distinct-element-sum-of-squares-ii/
915,Beautiful Towers I,Medium,https://leetcode.com/problems/beautiful-towers-i/
916,Beautiful Towers II,Medium,https://leetcode.com/problems/beautiful-towers-ii/
917,Count Valid Paths in a Tree,Hard,https://leetcode.com/problems/count-valid-paths-in-a-tree/
918,Smallest Number With Given Digit Product,Medium,https://leetcode.com/problems/smallest-number-with-given-digit-product/
919,Maximum Spending After Buying Items,Hard,https://leetcode.com/problems/maximum-spending-after-buying-items/
920,Length of the Longest Subsequence That Sums to Target,Medium,https://leetcode.com/problems/length-of-the-longest-subsequence-that-sums-to-target/
921,Minimum Edge Reversals So Every Node Is Reachable,Hard,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable/
922,Happy Students,Medium,https://leetcode.com/problems/happy-students/
923,Maximum Coins Heroes Can Collect,Medium,https://leetcode.com/problems/maximum-coins-heroes-can-collect/
924,Total Traveled Distance,Easy,https://leetcode.com/problems/total-traveled-distance/
925,Maximum Number of Alloys,Medium,https://leetcode.com/problems/maximum-number-of-alloys/
926,Minimum Number of Operations to Make Array Empty,Medium,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-empty/
927,Sum of Values at Indices With K Set Bits,Easy,https://leetcode.com/problems/sum-of-values-at-indices-with-k-set-bits/
928,Minimum Moves to Spread Stones Over Grid,Medium,https://leetcode.com/problems/minimum-moves-to-spread-stones-over-grid/
929,Count of Sub-Multisets With Bounded Sum,Hard,https://leetcode.com/problems/count-of-sub-multisets-with-bounded-sum/
930,Maximal Range That Each Element Is Maximum in It,Medium,https://leetcode.com/problems/maximal-range-that-each-element-is-maximum-in-it/
931,Minimum Array Length After Pair Removals,Medium,https://leetcode.com/problems/minimum-array-length-after-pair-removals/
932,Split Array Into Maximum Number of Subarrays,Medium,https://leetcode.com/problems/split-array-into-maximum-number-of-subarrays/
933,Minimum Edge Weight Equilibrium Queries in a Tree,Hard,https://leetcode.com/problems/minimum-edge-weight-equilibrium-queries-in-a-tree/
934,Election Results,Medium,https://leetcode.com/problems/election-results/
935,Minimum Relative Loss After Buying Chocolates,Hard,https://leetcode.com/problems/minimum-relative-loss-after-buying-chocolates/
936,Get the Size of a DataFrame,Easy,https://leetcode.com/problems/get-the-size-of-a-dataframe/
937,Drop Missing Data,Easy,https://leetcode.com/problems/drop-missing-data/
938,Select Data,Easy,https://leetcode.com/problems/select-data/
939,Reshape Data: Melt,Easy,https://leetcode.com/problems/reshape-data-melt/
940,Reshape Data: Pivot,Easy,https://leetcode.com/problems/reshape-data-pivot/
941,Drop Duplicate Rows,Easy,https://leetcode.com/problems/drop-duplicate-rows/
942,Fill Missing Data,Easy,https://leetcode.com/problems/fill-missing-data/
943,Change Data Type,Easy,https://leetcode.com/problems/change-data-type/
944,Rename Columns,Easy,https://leetcode.com/problems/rename-columns/
945,Modify Columns,Easy,https://leetcode.com/problems/modify-columns/
946,Create a New Column,Easy,https://leetcode.com/problems/create-a-new-column/
947,Display the First Three Rows,Easy,https://leetcode.com/problems/display-the-first-three-rows/
948,Reshape Data: Concatenate,Easy,https://leetcode.com/problems/reshape-data-concatenate/
949,Method Chaining,Easy,https://leetcode.com/problems/method-chaining/
950,Create a DataFrame from List,Easy,https://leetcode.com/problems/create-a-dataframe-from-list/
951,Maximum Number of K-Divisible Components,Hard,https://leetcode.com/problems/maximum-number-of-k-divisible-components/
952,Count K-Subsequences of a String With Maximum Beauty,Hard,https://leetcode.com/problems/count-k-subsequences-of-a-string-with-maximum-beauty/
953,Determine if a Cell Is Reachable at a Given Time,Medium,https://leetcode.com/problems/determine-if-a-cell-is-reachable-at-a-given-time/
954,Maximum Odd Binary Number,Easy,https://leetcode.com/problems/maximum-odd-binary-number/
955,Maximum Element-Sum of a Complete Subset of Indices,Hard,https://leetcode.com/problems/maximum-element-sum-of-a-complete-subset-of-indices/
956,Minimum Operations to Make a Special Number,Medium,https://leetcode.com/problems/minimum-operations-to-make-a-special-number/
957,Minimum Right Shifts to Sort the Array,Easy,https://leetcode.com/problems/minimum-right-shifts-to-sort-the-array/
958,Minimum Operations to Collect Elements,Easy,https://leetcode.com/problems/minimum-operations-to-collect-elements/
959,Minimum Time Takes to Reach Destination Without Drowning,Hard,https://leetcode.com/problems/minimum-time-takes-to-reach-destination-without-drowning/
960,Points That Intersect With Cars,Easy,https://leetcode.com/problems/points-that-intersect-with-cars/
961,Apply Operations to Make Two Strings Equal,Medium,https://leetcode.com/problems/apply-operations-to-make-two-strings-equal/
962,Maximize Value of Function in a Ball Passing Game,Hard,https://leetcode.com/problems/maximize-value-of-function-in-a-ball-passing-game/
963,Construct Product Matrix,Medium,https://leetcode.com/problems/construct-product-matrix/
964,Find The K-th Lucky Number,Medium,https://leetcode.com/problems/find-the-k-th-lucky-number/
965,Find the Minimum Possible Sum of a Beautiful Array,Medium,https://leetcode.com/problems/find-the-minimum-possible-sum-of-a-beautiful-array/
966,Minimum Operations to Form Subsequence With Target Sum,Hard,https://leetcode.com/problems/minimum-operations-to-form-subsequence-with-target-sum/
967,String Transformation,Hard,https://leetcode.com/problems/string-transformation/
968,Furthest Point From Origin,Easy,https://leetcode.com/problems/furthest-point-from-origin/
969,Make String a Subsequence Using Cyclic Increments,Medium,https://leetcode.com/problems/make-string-a-subsequence-using-cyclic-increments/
970,Number of Beautiful Integers in the Range,Hard,https://leetcode.com/problems/number-of-beautiful-integers-in-the-range/
971,Count Nodes That Are Great Enough,Hard,https://leetcode.com/problems/count-nodes-that-are-great-enough/
972,Status of Flight Tickets,Hard,https://leetcode.com/problems/status-of-flight-tickets/
973,Flight Occupancy and Waitlist Analysis,Medium,https://leetcode.com/problems/flight-occupancy-and-waitlist-analysis/
974,Apply Operations to Maximize Score,Hard,https://leetcode.com/problems/apply-operations-to-maximize-score/
975,Minimum Absolute Difference Between Elements With Constraint,Medium,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint/
976,Check if Strings Can be Made Equal With Operations I,Easy,https://leetcode.com/problems/check-if-strings-can-be-made-equal-with-operations-i/
977,  Count Symmetric Integers,Easy,https://leetcode.com/problems/count-symmetric-integers/
978,Number of Unique Categories,Medium,https://leetcode.com/problems/number-of-unique-categories/
979,Maximize the Profit as the Salesman,Medium,https://leetcode.com/problems/maximize-the-profit-as-the-salesman/
980,Check if Strings Can be Made Equal With Operations II,Medium,https://leetcode.com/problems/check-if-strings-can-be-made-equal-with-operations-ii/
981,Check if a String Is an Acronym of Words,Easy,https://leetcode.com/problems/check-if-a-string-is-an-acronym-of-words/
982,Account Balance After Rounded Purchase,Easy,https://leetcode.com/problems/account-balance-after-rounded-purchase/
983,Maximum Sum of Almost Unique Subarray,Medium,https://leetcode.com/problems/maximum-sum-of-almost-unique-subarray/
984,Count Pairs of Points With Distance k,Medium,https://leetcode.com/problems/count-pairs-of-points-with-distance-k/
985,Minimum Time to Make Array Sum At Most x,Hard,https://leetcode.com/problems/minimum-time-to-make-array-sum-at-most-x/
986,Height of Special Binary Tree,Medium,https://leetcode.com/problems/height-of-special-binary-tree/
987,Inversion of Object,Easy,https://leetcode.com/problems/inversion-of-object/
988,Count Stepping Numbers in Range,Hard,https://leetcode.com/problems/count-stepping-numbers-in-range/
989,Minimum Seconds to Equalize a Circular Array,Medium,https://leetcode.com/problems/minimum-seconds-to-equalize-a-circular-array/
990,Maximum Number of Groups With Increasing Length,Hard,https://leetcode.com/problems/maximum-number-of-groups-with-increasing-length/
991,Is Array a Preorder of Some ‌Binary Tree,Medium,https://leetcode.com/problems/is-array-a-preorder-of-some-binary-tree/
992,Count Pairs Whose Sum is Less than Target,Easy,https://leetcode.com/problems/count-pairs-whose-sum-is-less-than-target/
993,Check if it is Possible to Split Array,Medium,https://leetcode.com/problems/check-if-it-is-possible-to-split-array/
994,Count of Interesting Subarrays,Medium,https://leetcode.com/problems/count-of-interesting-subarrays/
995,Find the Safest Path in a Grid,Medium,https://leetcode.com/problems/find-the-safest-path-in-a-grid/
996,Deep Object Filter,Medium,https://leetcode.com/problems/deep-object-filter/
997,Delay the Resolution of Each Promise,Medium,https://leetcode.com/problems/delay-the-resolution-of-each-promise/
998,Custom Interval,Medium,https://leetcode.com/problems/custom-interval/
999,Array Prototype ForEach,Easy,https://leetcode.com/problems/array-prototype-foreach/
1000,Count Paths That Can Form a Palindrome in a Tree,Hard,https://leetcode.com/problems/count-paths-that-can-form-a-palindrome-in-a-tree/
1001,Sorting Three Groups,Medium,https://leetcode.com/problems/sorting-three-groups/
1002,Insert Greatest Common Divisors in Linked List,Medium,https://leetcode.com/problems/insert-greatest-common-divisors-in-linked-list/
1003,Max Pair Sum in an Array,Easy,https://leetcode.com/problems/max-pair-sum-in-an-array/
1004,Factorial Generator,Easy,https://leetcode.com/problems/factorial-generator/
1005,Partial Function with Placeholders,Easy,https://leetcode.com/problems/partial-function-with-placeholders/
1006,Repeat String,Easy,https://leetcode.com/problems/repeat-string/
1007,Parallel Execution of Promises for Individual Results Retrieval,Medium,https://leetcode.com/problems/parallel-execution-of-promises-for-individual-results-retrieval/
1008,Count Houses in a Circular Street II,Hard,https://leetcode.com/problems/count-houses-in-a-circular-street-ii/
1009,Maximum Elegance of a K-Length Subsequence,Hard,https://leetcode.com/problems/maximum-elegance-of-a-k-length-subsequence/
1010,Visit Array Positions to Maximize Score,Medium,https://leetcode.com/problems/visit-array-positions-to-maximize-score/
1011,Check if Array is Good,Easy,https://leetcode.com/problems/check-if-array-is-good/
1012,Maximum Beauty of an Array After Applying Operation,Medium,https://leetcode.com/problems/maximum-beauty-of-an-array-after-applying-operation/
1013,Count Substrings Without Repeating Character,Medium,https://leetcode.com/problems/count-substrings-without-repeating-character/
1014,Number of Black Blocks,Medium,https://leetcode.com/problems/number-of-black-blocks/
1015,Minimum Index of a Valid Split,Medium,https://leetcode.com/problems/minimum-index-of-a-valid-split/
1016,Sort Vowels in a String,Medium,https://leetcode.com/problems/sort-vowels-in-a-string/
1017,Faulty Keyboard,Easy,https://leetcode.com/problems/faulty-keyboard/
1018,Count Occurrences in Text,Medium,https://leetcode.com/problems/count-occurrences-in-text/
1019,Length of the Longest Valid Substring,Hard,https://leetcode.com/problems/length-of-the-longest-valid-substring/
1020,Partition String Into Minimum Beautiful Substrings,Medium,https://leetcode.com/problems/partition-string-into-minimum-beautiful-substrings/
1021,Ways to Express an Integer as Sum of Powers,Medium,https://leetcode.com/problems/ways-to-express-an-integer-as-sum-of-powers/
1022,Split Strings by Separator,Easy,https://leetcode.com/problems/split-strings-by-separator/
1023,Find the Closest Marked Node,Medium,https://leetcode.com/problems/find-the-closest-marked-node/
1024,Minimum Changes to Make K Semi-palindromes,Hard,https://leetcode.com/problems/minimum-changes-to-make-k-semi-palindromes/
1025,Apply Operations to Make All Array Elements Equal to Zero,Medium,https://leetcode.com/problems/apply-operations-to-make-all-array-elements-equal-to-zero/
1026,Shortest String That Contains Three Strings,Medium,https://leetcode.com/problems/shortest-string-that-contains-three-strings/
1027,Number of Employees Who Met the Target,Easy,https://leetcode.com/problems/number-of-employees-who-met-the-target/
1028,Count Houses in a Circular Street,Easy,https://leetcode.com/problems/count-houses-in-a-circular-street/
1029,Popularity Percentage,Hard,https://leetcode.com/problems/popularity-percentage/
1030,Prime Pairs With Target Sum,Medium,https://leetcode.com/problems/prime-pairs-with-target-sum/
1031,Largest Element in an Array after Merge Operations,Medium,https://leetcode.com/problems/largest-element-in-an-array-after-merge-operations/
1032,Double a Number Represented as a Linked List,Medium,https://leetcode.com/problems/double-a-number-represented-as-a-linked-list/
1033,Longest Alternating Subarray,Easy,https://leetcode.com/problems/longest-alternating-subarray/
1034,Longest Non-decreasing Subarray From Two Arrays,Medium,https://leetcode.com/problems/longest-non-decreasing-subarray-from-two-arrays/
1035,Continuous Subarrays,Medium,https://leetcode.com/problems/continuous-subarrays/
1036,Ways to Split Array Into Good Subarrays,Medium,https://leetcode.com/problems/ways-to-split-array-into-good-subarrays/
1037,Longest Even Odd Subarray With Threshold,Easy,https://leetcode.com/problems/longest-even-odd-subarray-with-threshold/
1038,Find Shortest Path with K Hops,Hard,https://leetcode.com/problems/find-shortest-path-with-k-hops/
1039,Is Object Empty,Easy,https://leetcode.com/problems/is-object-empty/
1040,Calculator with Method Chaining,Easy,https://leetcode.com/problems/calculator-with-method-chaining/
1041,Interval Cancellation,Easy,https://leetcode.com/problems/interval-cancellation/
1042,Create Object from Two Arrays,Easy,https://leetcode.com/problems/create-object-from-two-arrays/
1043,Sort By,Easy,https://leetcode.com/problems/sort-by/
1044,Add Two Promises,Easy,https://leetcode.com/problems/add-two-promises/
1045,Join Two Arrays by ID,Medium,https://leetcode.com/problems/join-two-arrays-by-id/
1046,Total Distance Traveled,Easy,https://leetcode.com/problems/total-distance-traveled/
1047,Count Complete Subarrays in an Array,Medium,https://leetcode.com/problems/count-complete-subarrays-in-an-array/
1048,Maximum Number of Jumps to Reach the Last Index,Medium,https://leetcode.com/problems/maximum-number-of-jumps-to-reach-the-last-index/
1049,Decremental String Concatenation,Medium,https://leetcode.com/problems/decremental-string-concatenation/
1050,Consecutive Transactions with Increasing Amounts,Hard,https://leetcode.com/problems/consecutive-transactions-with-increasing-amounts/
1051,Customers with Maximum Number of Transactions on Consecutive Days,Hard,https://leetcode.com/problems/customers-with-maximum-number-of-transactions-on-consecutive-days/
1052,Convert JSON String to Object,Hard,https://leetcode.com/problems/convert-json-string-to-object/
1053,Construct the Longest New String,Medium,https://leetcode.com/problems/construct-the-longest-new-string/
1054,Sum of Imbalance Numbers of All Subarrays,Hard,https://leetcode.com/problems/sum-of-imbalance-numbers-of-all-subarrays/
1055,Special Permutations,Medium,https://leetcode.com/problems/special-permutations/
1056,Find Maximum Number of String Pairs,Easy,https://leetcode.com/problems/find-maximum-number-of-string-pairs/
1057,Robot Collisions,Hard,https://leetcode.com/problems/robot-collisions/
1058,Find the Value of the Partition,Medium,https://leetcode.com/problems/find-the-value-of-the-partition/
1059,Sum of Squares of Special Elements ,Easy,https://leetcode.com/problems/sum-of-squares-of-special-elements/
1060,Extract Kth Character From The Rope Tree,Easy,https://leetcode.com/problems/extract-kth-character-from-the-rope-tree/
1061,Find Active Users,Medium,https://leetcode.com/problems/find-active-users/
1062,Bikes Last Time Used ,Easy,https://leetcode.com/problems/bikes-last-time-used/
1063,Immediate Food Delivery III,Medium,https://leetcode.com/problems/immediate-food-delivery-iii/
1064,Maximum Sum Queries,Hard,https://leetcode.com/problems/maximum-sum-queries/
1065,Sum of Matrix After Queries,Medium,https://leetcode.com/problems/sum-of-matrix-after-queries/
1066,Minimum Operations to Make the Integer Zero,Medium,https://leetcode.com/problems/minimum-operations-to-make-the-integer-zero/
1067,Neither Minimum nor Maximum,Easy,https://leetcode.com/problems/neither-minimum-nor-maximum/
1068,Split a Circular Linked List,Medium,https://leetcode.com/problems/split-a-circular-linked-list/
1069,Relocate Marbles,Medium,https://leetcode.com/problems/relocate-marbles/
1070,Count Zero Request Servers,Medium,https://leetcode.com/problems/count-zero-request-servers/
1071,Find the Longest Equal Subarray,Medium,https://leetcode.com/problems/find-the-longest-equal-subarray/
1072,Number of Beautiful Pairs,Easy,https://leetcode.com/problems/number-of-beautiful-pairs/
1073,Count Artist Occurrences On Spotify Ranking List,Easy,https://leetcode.com/problems/count-artist-occurrences-on-spotify-ranking-list/
1074,Find Latest Salaries,Easy,https://leetcode.com/problems/find-latest-salaries/
1075,Lexicographically Smallest String After Substring Operation,Medium,https://leetcode.com/problems/lexicographically-smallest-string-after-substring-operation/
1076,Greatest Common Divisor Traversal,Hard,https://leetcode.com/problems/greatest-common-divisor-traversal/
1077,Find a Good Subset of the Matrix,Hard,https://leetcode.com/problems/find-a-good-subset-of-the-matrix/
1078,Minimize String Length,Easy,https://leetcode.com/problems/minimize-string-length/
1079,Check if The Number is Fascinating,Easy,https://leetcode.com/problems/check-if-the-number-is-fascinating/
1080,The Knight’s Tour,Medium,https://leetcode.com/problems/the-knights-tour/
1081,Next Day,Easy,https://leetcode.com/problems/next-day/
1082,Timeout Cancellation,Easy,https://leetcode.com/problems/timeout-cancellation/
1083,Return Length of Arguments Passed,Easy,https://leetcode.com/problems/return-length-of-arguments-passed/
1084,Remove Trailing Zeros From a String,Easy,https://leetcode.com/problems/remove-trailing-zeros-from-a-string/
1085,Maximum Strictly Increasing Cells in a Matrix,Hard,https://leetcode.com/problems/maximum-strictly-increasing-cells-in-a-matrix/
1086,Minimum Cost to Make All Characters Equal,Medium,https://leetcode.com/problems/minimum-cost-to-make-all-characters-equal/
1087,Lexicographically Smallest Palindrome,Easy,https://leetcode.com/problems/lexicographically-smallest-palindrome/
1088,Find Maximal Uncovered Ranges,Medium,https://leetcode.com/problems/find-maximal-uncovered-ranges/
1089,Generate Circular Array Values,Medium,https://leetcode.com/problems/generate-circular-array-values/
1090,To Be Or Not To Be,Easy,https://leetcode.com/problems/to-be-or-not-to-be/
1091,Find the Maximum Achievable Number,Easy,https://leetcode.com/problems/find-the-maximum-achievable-number/
